PkMn, PokeName, Quick Move Name, Charge Move Name, Attack(IV0), Defense(IV0), Att*Def(IV0), Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%
7,Squirtle,Bubble,Water Pulse,15.2227245022,12.496,190.22316538,1,112,142,88,13.5869565217,13.5972496706,0.4626168224,13.5917183056,198.127684005,206.244131498,214.575260182,223.123822379,231.892570413,240.884256606,250.101633282,259.547452763,269.224467373,279.135429434
7,Squirtle,Tackle,Aqua Jet,12.2191086417,12.496,152.689981586,1,112,142,88,10.9090909091,10.9110251451,0.4278283485,10.9099184301,159.03484921,165.549829738,172.237132426,179.098966535,186.137541322,193.355066047,200.753749967,208.335802341,216.103432427,224.058849485
7,Squirtle,Tackle,Aqua Tail,14.4132222152,12.496,180.107624801,1,112,142,88,10.9090909091,19.4216634429,0.2302309307,12.8689484064,187.591803039,195.276640356,203.164742712,211.258716071,219.561166394,228.074699643,236.801921781,245.745438768,254.907856569,264.291781143
7,Squirtle,Tackle,Water Pulse,12.2181818182,12.496,152.6784,0,112,142,88,10.9090909091,10.8787878788,0.2302309307,10.9090909091,159.022786364,165.537272727,172.224068182,179.085381818,186.123422727,193.3404,200.738522727,208.32,216.087040909,224.041854545
8,Wartortle,Water Gun,Aqua Jet,21.6,20.768,448.5888,0,144,176,118,15,13.6728723404,0.2302309307,15,462.93553125,477.58095,492.52809375,507.78,523.33970625,539.21025,555.39466875,571.896,588.71728125,605.86155
8,Wartortle,Water Gun,Ice Beam,27.1572106825,20.768,564.000951454,1,144,176,118,15,22.6352739726,0.5054401583,18.8591740851,582.038784934,600.452151717,619.244870788,638.420761128,657.98364172,677.937331547,698.285649592,719.032414837,740.181446265,761.73656286
8,Wartortle,Water Gun,Hydro Pump,29.0909138381,20.768,604.16009859,1,144,176,118,15,29.9802631579,0.3472584856,20.2020234987,623.482298713,643.206771629,663.337608247,683.878899478,704.834736231,726.209209416,748.006409942,770.230428721,792.88535666,815.97528467
8,Wartortle,Bite,Aqua Jet,17.28,20.768,358.87104,0,144,176,118,12,10.9382978723,0.3472584856,12,370.348425,382.06476,394.022475,406.224,418.671765,431.3682,444.315735,457.5168,470.973825,484.68924
8,Wartortle,Bite,Ice Beam,21.725768546,20.768,451.200761163,1,144,176,118,12,18.1082191781,0.5054401583,15.0873392681,465.631027947,480.361721374,495.39589663,510.736608902,526.386913376,542.349865237,558.628519673,575.225931869,592.145157012,609.389250288
8,Wartortle,Bite,Hydro Pump,23.2727310705,20.768,483.328078872,1,144,176,118,12,23.9842105263,0.3472584856,16.161618799,498.78583897,514.565417303,530.670086598,547.103119582,563.867788985,580.967367533,598.405127954,616.184342977,634.308285328,652.780227736
9,Blastoise,Water Gun,Flash Cannon,33.2395376712,35.076,1165.91002336,1,186,222,158,15,19.6057692308,0.6232876712,17.8707191781,1194.48724676,1223.52325621,1253.02167051,1282.98610849,1313.42018898,1344.32753078,1375.71175272,1407.57647363,1439.92531232,1472.76188761
9,Blastoise,Water Gun,Ice Beam,35.0780637982,35.076,1230.39816579,1,186,222,158,15,22.6352739726,0.5054401583,18.8591740851,1260.55603608,1291.19806853,1322.3280821,1353.94989579,1386.06732857,1418.68419943,1451.80432734,1485.43153131,1519.56963029,1554.22244329
9,Blastoise,Water Gun,Hydro Pump,37.5757637076,35.076,1318.00748781,1,186,222,158,15,29.9802631579,0.3472584856,20.2020234987,1350.31272035,1383.13658934,1416.48318569,1450.35660031,1484.76092411,1519.70024799,1555.17866287,1591.20025966,1627.76912926,1664.88936259
9,Blastoise,Bite,Flash Cannon,26.591630137,35.076,932.728018685,1,186,222,158,12,15.6846153846,0.6232876712,14.2965753425,955.58979741,978.818604966,1002.41733641,1026.38888679,1050.73615118,1075.46202462,1100.56940218,1126.0611789,1151.94024986,1178.20951009
9,Blastoise,Bite,Ice Beam,28.0624510386,35.076,984.318532629,1,186,222,158,12,18.1082191781,0.5054401583,15.0873392681,1008.44482887,1032.95845482,1057.86246568,1083.15991663,1108.85386285,1134.94735954,1161.44346188,1188.34522504,1215.65570423,1243.37795463
9,Blastoise,Bite,Hydro Pump,30.0606109661,35.076,1054.40599025,1,186,222,158,12,23.9842105263,0.3472584856,16.161618799,1080.25017628,1106.50927148,1133.18654856,1160.28528025,1187.80873929,1215.76019839,1244.1429303,1272.96020773,1302.21530341,1331.91149008
10,Caterpie,Bug Bite,Struggle,8.6111111111,5.94,51.15,0,62,66,90,13.8888888889,11.0619469027,0.3472584856,13.8888888889,54.47109375,57.93125,61.53328125,65.28,69.17421875,73.21875,77.41640625,81.77,86.28234375,90.95625
10,Caterpie,Tackle,Struggle,6.7636363636,5.94,40.176,0,62,66,90,10.9090909091,8.8495575221,0.3472584856,10.9090909091,42.7845681818,45.5023636364,48.3315954545,51.2744727273,54.3332045455,57.51,60.8070681818,64.2266181818,67.7708590909,71.442
11,Metapod,Bug Bite,Struggle,7.7777777778,8.6,66.8888888889,0,56,86,100,13.8888888889,11.0619469027,0.3472584856,13.8888888889,70.9266493056,75.1184722222,79.4671701389,83.9755555556,88.6464409722,93.4826388889,98.4869618056,103.662222222,109.011232639,114.536805556
11,Metapod,Tackle,Struggle,6.1090909091,8.6,52.5381818182,0,56,86,100,10.9090909091,8.8495575221,0.3472584856,10.9090909091,55.7096590909,59.0021454545,62.41785,65.9589818182,69.62775,73.4263636364,77.3570318182,81.4219636364,85.6233681818,89.9634545455
12,Butterfree,Bug Bite,Bug Buzz,26.9832535885,17.28,466.27062201,1,144,144,120,13.8888888889,22.4060457516,0.5693779904,18.7383705476,481.985626738,498.04846247,514.462923725,531.232805024,548.361900886,565.854005831,583.71291438,601.942421053,620.546320369,639.528406848
12,Butterfree,Bug Bite,Psychic,27.3824228029,17.28,473.168266033,1,144,144,120,13.8888888889,24.9007936508,0.4655581948,19.0155713909,489.115746289,505.416203088,522.073487084,539.091448931,556.473939281,574.224808789,592.347908106,610.847087886,629.726198783,648.989091449
12,Butterfree,Bug Bite,Signal Beam,23.9357045144,17.28,413.608974008,1,144,144,120,13.8888888889,18.4923835125,0.5937072503,16.6220170239,427.549090918,441.797754018,456.358329269,471.234182627,486.428680051,501.9451875,517.787070932,533.957696306,550.460429581,567.298636713
12,Butterfree,Confusion,Bug Buzz,17.5452643501,17.28,303.18216797,1,144,144,120,9.9337748344,17.8954031944,0.2826603325,12.1842113542,313.400502513,323.845006479,334.518147171,345.422391893,356.560207945,367.934062633,379.546423257,391.399757122,403.496531529,415.839213783
12,Butterfree,Confusion,Psychic,17.2598240959,17.28,298.249760378,1,144,144,120,9.9337748344,19.8912015137,0.2060988433,11.9859889555,308.301854963,318.576439468,329.075941055,339.802786889,350.75940413,361.948219943,373.371661489,385.032155932,396.932130434,409.074012159
12,Butterfree,Confusion,Signal Beam,16.4149345016,17.28,283.650068188,1,144,144,120,9.9337748344,14.7644734031,0.3033692157,11.3992600706,293.210100393,302.981731364,312.96726945,323.169023001,333.589300367,344.2304099,355.094659948,366.184358862,377.501814993,389.049336689
13,Weedle,Bug Bite,Struggle,9.4444444444,5.12,48.3555555556,0,68,64,80,13.8888888889,11.0619469027,0.3033692157,13.8888888889,51.5289409722,54.8376388889,58.2844618056,61.8722222222,65.6037326389,69.4818055556,73.5092534722,77.6888888889,82.0235243056,86.5159722222
13,Weedle,Poison Sting,Struggle,8.8695652174,5.12,45.412173913,0,68,64,80,13.0434782609,11.0619469027,0.3033692157,13.0434782609,48.3923967391,51.4996956522,54.7367119565,58.1060869565,61.6104619565,65.2524782609,69.0347771739,72.96,77.0307880435,81.2497826087
14,Kakuna,Bug Bite,Struggle,8.6111111111,7.38,63.55,0,62,82,90,13.8888888889,11.0619469027,0.3033692157,13.8888888889,67.3827604167,71.3645833333,75.49828125,79.7866666667,84.2325520833,88.83875,93.6080729167,98.5433333333,103.64734375,108.922916667
14,Kakuna,Poison Sting,Struggle,8.0869565217,7.38,59.6817391304,0,62,82,90,13.0434782609,11.0619469027,0.3033692157,13.0434782609,63.281201087,67.0206521739,70.9027336957,74.9300869565,79.1053532609,83.431173913,87.9101902174,92.5450434783,97.338375,102.292826087
15,Beedrill,Bug Bite,Sludge Bomb,28.3071253071,16.9,478.39041769,1,144,130,130,13.8888888889,26.7895299145,0.4471744472,19.6577259077,494.592782255,511.156504965,528.085566512,545.383947584,563.055628871,581.104591063,599.534814848,618.350280917,637.554969959,657.152862664
15,Beedrill,Bug Bite,Aerial Ace,20,16.9,338,0,144,130,130,13.8888888889,13.278256705,0.4471744472,13.8888888889,349.447552083,361.150416667,373.11140625,385.333333333,397.819010417,410.57125,423.592864583,436.886666667,450.45546875,464.302083333
15,Beedrill,Bug Bite,X Scissor,25.2233502538,16.9,426.274619289,1,144,130,130,13.8888888889,21.1805555556,0.4974619289,17.516215454,440.711900077,455.471172695,470.555984177,485.969881557,501.716411868,517.799122145,534.22155942,550.987270728,568.099803101,585.562703574
15,Beedrill,Poison Jab,Sludge Bomb,25.2101838755,16.9,426.052107496,1,144,130,130,14.2857142857,26.7994505495,0.2574257426,17.5070721358,440.481852144,455.233420545,470.310357881,485.716209335,501.454520089,517.528835325,533.942700225,550.699659972,567.803259746,585.257044731
15,Beedrill,Poison Jab,Aerial Ace,20.5714285714,16.9,347.657142857,0,144,130,130,14.2857142857,13.2881773399,0.2574257426,14.2857142857,359.431767857,371.469,383.771732143,396.342857143,409.185267857,422.301857143,435.695517857,449.369142857,463.325625,477.567857143
15,Beedrill,Poison Jab,X Scissor,23.5331306991,16.9,397.709908815,1,144,130,130,14.2857142857,21.1904761905,0.2978723404,16.3424518744,411.179745783,424.949997872,439.02397443,453.404984802,468.096338336,483.101344377,498.423312272,514.065551368,530.031371011,546.324080547
16,Pidgey,Quick Attack,Twister,9.7758097166,7.2,70.3858299595,1,94,90,80,9.3984962406,11.8090364801,0.4153846154,10.3997975709,74.0639653656,77.8677563259,81.7993087993,85.8607287449,90.0541221217,94.3815948887,98.8452530048,103.447202429,108.189549121,113.074399038
16,Pidgey,Quick Attack,Aerial Ace,10.1770971547,7.2,73.2750995135,1,94,90,80,9.3984962406,13.1659968888,0.3790849673,10.8266991007,77.1042187846,81.0641516475,85.1570905089,89.3852277753,93.7507558533,98.2558671495,102.90275407,107.693609023,112.630624413,117.715992647
16,Pidgey,Quick Attack,Air Cutter,10.0445406996,7.2,72.3206930369,1,94,90,80,9.3984962406,12.5384483937,0.4099378882,10.6856815953,76.0999381181,80.008292947,84.0479213744,88.2209872507,92.5296544265,96.9760867522,101.562448078,106.290902256,111.163613134,116.182744565
16,Pidgey,Tackle,Twister,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,11.914983165,0.4099378882,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
16,Pidgey,Tackle,Aerial Ace,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,13.2719435737,0.4099378882,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
16,Pidgey,Tackle,Air Cutter,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,13.0681818182,0.4099378882,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
17,Pidgeotto,Wing Attack,Twister,18.9,15.372,290.5308,0,126,122,126,15,11.9490740741,0.4099378882,15,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Wing Attack,Aerial Ace,18.9,15.372,290.5308,0,126,122,126,15,13.3060344828,0.4099378882,15,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Wing Attack,Air Cutter,18.9,15.372,290.5308,0,126,122,126,15,13.2386363636,0.4099378882,15,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Steel Wing,Twister,14.2105263158,15.372,218.444210526,0,126,122,126,11.2781954887,9.5412141465,0.4099378882,11.2781954887,226.426339286,234.60056391,242.969168233,251.53443609,260.298651316,269.264097744,278.433059211,287.807819549,297.390662594,307.18387218
17,Pidgeotto,Steel Wing,Aerial Ace,14.2105263158,15.372,218.444210526,0,126,122,126,11.2781954887,10.6267824734,0.4099378882,11.2781954887,226.426339286,234.60056391,242.969168233,251.53443609,260.298651316,269.264097744,278.433059211,287.807819549,297.390662594,307.18387218
17,Pidgeotto,Steel Wing,Air Cutter,14.2105263158,15.372,218.444210526,0,126,122,126,11.2781954887,10.500683527,0.4099378882,11.2781954887,226.426339286,234.60056391,242.969168233,251.53443609,260.298651316,269.264097744,278.433059211,287.807819549,297.390662594,307.18387218
18,Pidgeot,Wing Attack,Hurricane,31.9997946612,27.556,881.786341684,1,170,166,166,15,31.625,0.2299794661,18.8234086242,905.715952836,930.07459653,954.866084505,980.094228501,1005.76284026,1031.87573152,1058.43671402,1085.44959951,1112.91819972,1140.84632639
18,Pidgeot,Wing Attack,Aerial Ace,25.5,27.556,702.678,0,170,166,166,15,13.3060344828,0.2299794661,15,721.74703125,741.15795,760.91379375,781.0176,801.47240625,822.28125,843.44716875,864.9732,886.86238125,909.11775
18,Pidgeot,Wing Attack,Air Cutter,25.5,27.556,702.678,0,170,166,166,15,13.2386363636,0.2299794661,15,721.74703125,741.15795,760.91379375,781.0176,801.47240625,822.28125,843.44716875,864.9732,886.86238125,909.11775
18,Pidgeot,Steel Wing,Hurricane,21.26293099,27.556,585.921326361,1,170,166,166,11.2781954887,25.2819548872,0.0877914952,12.5076064647,601.821855597,618.007464453,634.48068572,651.244052188,668.300096647,685.651351888,703.300350701,721.249625875,739.501710203,758.059136473
18,Pidgeot,Steel Wing,Aerial Ace,19.1729323308,27.556,528.329323308,0,170,166,166,11.2781954887,10.6267824734,0.0877914952,11.2781954887,542.666940789,557.261616541,572.115634398,587.231278195,602.610831767,618.256578947,634.170803571,650.355789474,666.813820489,683.547180451
18,Pidgeot,Steel Wing,Air Cutter,19.1729323308,27.556,528.329323308,0,170,166,166,11.2781954887,10.500683527,0.0877914952,11.2781954887,542.666940789,557.261616541,572.115634398,587.231278195,602.610831767,618.256578947,634.170803571,650.355789474,666.813820489,683.547180451
19,Rattata,Tackle,Dig,13.4152618513,5.16,69.2227511526,1,92,86,60,13.6363636364,15.4271159875,0.5279583875,14.5818063601,73.3679030193,77.672178848,82.1385314543,86.7699136541,91.5692782632,96.5395780973,101.683765972,107.004794704,112.505617108,118.189186
19,Rattata,Tackle,Hyper Fang,14.5443226381,5.16,75.0487048128,1,92,86,60,13.6363636364,21.1742424242,0.2882352941,15.8090463458,79.5427226562,84.2092567179,89.0515083297,94.0726788235,99.2759695312,104.664581785,110.241716916,116.010576257,121.974361139,128.136272894
19,Rattata,Tackle,Body Slam,15.403897286,5.16,79.4841099956,1,92,86,60,13.6363636364,32.3921911422,0.1656553398,16.7433666152,84.2437258941,89.1860537808,94.3144841874,99.6324076456,105.143214687,110.850295844,116.757041648,122.86684263,129.183089323,135.709172258
19,Rattata,Quick Attack,Dig,11.2649581701,5.16,58.1271841576,1,92,86,60,9.3984962406,15.3211693026,0.4805302403,12.2445197501,61.6079184813,65.2222711268,68.9727216093,72.861749444,76.8918341463,81.0654552314,85.3850922145,89.8532246108,94.4723319357,99.2448937043
19,Rattata,Quick Attack,Hyper Fang,11.3402906909,5.16,58.515899965,1,92,86,60,9.3984962406,21.0682957393,0.2508960573,12.3264029249,62.0199111164,65.6584341398,69.4339651317,73.3490001886,77.4060354073,81.6075668843,85.9560907161,90.4541029994,95.1040998308,99.9085773068
19,Rattata,Quick Attack,Body Slam,11.6166433262,5.16,59.9418795633,1,92,86,60,9.3984962406,32.2862444573,0.1410488246,12.6267862241,63.5312802997,67.2584708409,71.1260081109,75.136449034,79.2923505344,83.5962695363,88.0507629639,92.6583877415,97.4217007932,102.343259043
20,Raticate,Bite,Dig,17.9030262697,16.5,295.39993345,1,146,150,110,12,12.3689655172,0.711033275,12.2623467601,305.52947491,315.885532571,326.470589557,337.287128995,348.337634008,359.624587723,371.150473265,382.917773758,394.928972329,407.186552102
20,Raticate,Bite,Hyper Fang,20.9364935897,16.5,345.452144231,1,146,150,110,12,16.9666666667,0.4711538462,14.3400641026,357.298023059,369.408798721,381.787375081,394.436656,407.359545343,420.558946971,434.037764749,447.798902538,461.845264203,476.179753606
20,Raticate,Bite,Hyper Beam,24.9144705882,16.5,411.088764706,1,146,150,110,12,24.3,0.4117647059,17.0647058824,425.185384963,439.597233,454.327764419,469.380434824,484.758699816,500.466015,516.505835978,532.881618353,549.596817728,566.654889706
20,Raticate,Quick Attack,Dig,17.8769988351,16.5,294.970480779,1,146,150,110,9.3984962406,15.3211693026,0.4805302403,12.2445197501,305.085295904,315.426297919,325.995966341,336.796780684,347.831220464,359.101765196,370.610894396,382.361087578,394.354824258,406.594583951
