PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%, Defender Quick Move PPS, Defender Charge PPS Active Fraction, Defender Total PPS, D_IV0%, D_IV10%, D_IV20%, D_IV30%, D_IV40%, D_IV50%, D_IV60%, D_IV70%, D_IV80%, D_IV90%, D_IV100%
3,Venusaur,Vine Whip,Petal Blizzard,36.2909836066,32.0,1161.31147541,1,198,200,160,13.4615384615,25.390625,0.408014571949,18.3287795993,1189.93715719,1219.0267862,1248.58407403,1278.61273224,1309.11647242,1340.09900615,1371.564045,1403.51530055,1435.95648437,1468.89130806, 3.30188679245, 0.144609425436, 5.39460942544,341.802453196,350.227693507,358.789484869,367.488919691,376.327090381,385.305089347,394.424008998,403.684941742,413.088979987,422.637216142,432.330742616
3,Venusaur,Vine Whip,Solar Beam,38.3836858006,32.0,1228.27794562,1,198,200,160,13.4615384615,30.612244898,0.345417925478,19.3856998993,1258.55431363,1289.32138218,1320.58307685,1352.34332326,1384.60604702,1417.37517372,1450.65462897,1484.44833837,1518.76022753,1553.59422205, 3.30188679245, 0.114600735048, 5.37921817574,340.827263615,349.228466046,357.765829937,366.440444579,375.253399265,384.205783286,393.298685934,402.5331965,411.910404277,421.431398555,431.097268627
4,Charmander,Ember,Flame Charge,15.2380952381,8.424,128.365714286,0,128,108,78,11.9047619048,10.0806451613,0.345417925478,11.9047619048,134.2059375,140.216785714,146.400669643,152.76,159.2971875,166.014642857,172.914776786,180.0,187.272723214,194.735357143, 4.09836065574, 0.336956521739, 5.09510869565,54.9391304348,57.4386824898,60.0112601902,62.6578952955,65.3796195652,68.1774647588,71.0524626359,74.0056449558,77.0380434783,80.1506899626,83.3446161685
4,Charmander,Ember,Flame Burst,18.6243386243,8.424,156.891428571,1,128,108,78,11.9047619048,17.8571428571,0.444444444444,14.5502645503,164.029479167,171.376071429,178.934151786,186.706666667,194.6965625,202.906785714,211.340282738,220.0,228.888883929,238.009880952, 4.09836065574, 0.215938303342, 5.91259640103,63.7538714653,66.654465617,69.6398020566,72.7110780848,75.8694910026,79.1162381105,82.4525167095,85.8795241003,89.3984575835,93.0105144602,96.7168920308
4,Charmander,Ember,Flamethrower,20.6134969325,8.424,173.64809816,1,128,108,78,11.9047619048,23.7068965517,0.355828220859,16.1042944785,181.548522814,189.67976227,198.045077646,206.647730061,215.490980637,224.578090491,233.912320744,243.496932515,253.335186925,263.430345092, 4.09836065574, 0.159779614325, 6.09504132231,65.7211239669,68.71122172,71.7886766529,74.9547230114,78.2105950413,81.5575269886,84.9967530992,88.5295076188,92.1570247934,95.8805388688,99.7012840909
4,Charmander,Scratch,Flame Charge,15.36,8.424,129.39264,0,128,108,78,12.0,10.0806451613,0.355828220859,12.0,135.279585,141.33852,147.571875,153.98208,160.571565,167.34276,174.298095,181.44,188.770905,196.29324, 2.4, 0.302649930265, 3.80927475593,41.0743430962,42.9430923444,44.866438023,46.8451515102,48.8800041841,50.9717674229,53.1212126046,55.3291111075,57.5962343096,59.9233535892,62.3112403243
4,Charmander,Scratch,Flame Burst,19.4117647059,8.424,163.524705882,1,128,108,78,12.0,17.8571428571,0.540441176471,15.1654411765,170.964549058,178.621750919,186.499382468,194.600514706,202.928218635,211.485565257,220.275625574,229.301470588,238.566171301,248.072798713, 2.4, 0.190414507772, 4.3231865285,46.6157098446,48.7365732877,50.9193988018,53.1650618321,55.4744378238,57.8484022223,60.2878304728,62.7935980206,65.3665803109,68.007652789,70.7176909003
4,Charmander,Scratch,Flamethrower,22.0750551876,8.424,185.960264901,1,128,108,78,12.0,23.7068965517,0.448123620309,17.2461368653,194.420853166,203.128621689,212.08706281,221.299668874,230.769932223,240.501345199,250.497400145,260.761589404,271.297405319,282.108340232, 2.4, 0.139710942877, 4.38317274604,47.2625244322,49.412815839,51.6259290692,53.9027517152,56.2441713696,58.6510756248,61.1243520733,63.6648883076,66.2735719202,68.9512905035,71.69893165
5,Charmeleon,Ember,Fire Punch,23.3040702314,16.24,378.458100559,1,160,140,116,11.9047619048,17.8571428571,0.446927374302,14.5650438947,391.091728601,404.000963687,417.188755237,430.658052674,444.411805417,458.452962889,472.784474511,487.409289705,502.330357891,517.550628492, 4.09836065574, 0.217644772639, 5.92693354061,154.005441119,159.146426229,164.399563739,169.766053853,175.247096774,180.843892708,186.557641858,192.389544428,198.340800622,204.412610644,210.606174699
5,Charmeleon,Ember,Flame Burst,23.2804232804,16.24,378.074074074,1,160,140,116,11.9047619048,17.8571428571,0.444444444444,14.5502645503,390.694882606,403.591018519,416.765428241,430.221058201,443.960854828,457.98776455,472.304733796,486.914708995,501.820636574,517.025462963, 4.09836065574, 0.215938303342, 5.91259640103,153.632904884,158.761454049,164.001884319,169.355392995,174.823177378,180.406434769,186.106362468,191.924157776,197.861017995,203.918140424,210.096722365
5,Charmeleon,Ember,Flamethrower,25.7668711656,16.24,418.45398773,1,160,140,116,11.9047619048,23.7068965517,0.355828220859,16.1042944785,432.422752109,446.69625,461.277742523,476.170490798,491.377755943,506.90279908,522.748881327,538.919263804,555.41720763,572.245973926, 4.09836065574, 0.159779614325, 6.09504132231,158.373553719,163.660354468,169.062488636,174.58119047,180.217694215,185.973234117,191.849044421,197.846359375,203.966413223,210.210440212,216.579674587
5,Charmeleon,Scratch,Fire Punch,24.2880886427,16.24,394.438559557,1,160,140,116,12.0,17.8571428571,0.542936288089,15.1800554017,407.605644737,421.059974515,434.804622853,448.842663712,463.177171053,477.811218837,492.747881025,507.990231579,523.54134446,539.404293629, 2.4, 0.191968658178, 4.3388834476,112.741547502,116.505067887,120.350690793,124.279294846,128.291758668,132.388960884,136.571780118,140.841094993,145.197784133,149.642726163,154.176799706
5,Charmeleon,Scratch,Flame Burst,24.2647058824,16.24,394.058823529,1,160,140,116,12.0,17.8571428571,0.540441176471,15.1654411765,407.213232422,420.654609375,434.386025391,448.410551471,462.731258617,477.351217831,492.273500115,507.501176471,523.0373179,538.884995404, 2.4, 0.190414507772, 4.3231865285,112.333678756,116.083583731,119.915294203,123.829685618,127.82763342,131.910013055,136.077699968,140.331569604,144.672497409,149.101358829,153.619029307
5,Charmeleon,Scratch,Flamethrower,27.5938189845,16.24,448.123620309,1,160,140,116,12.0,23.7068965517,0.448123620309,17.2461368653,463.082811638,478.368342991,493.983706712,509.932395143,526.217900628,542.843715508,559.813332126,577.130242826,594.797939949,612.819915839, 2.4, 0.139710942877, 4.38317274604,113.892360633,117.694297278,121.57917451,125.54787992,129.601301101,133.740325646,137.965841148,142.278735198,146.679895389,151.170209314,155.750564565
6,Charizard,Ember,Fire Blast,36.301369863,28.392,1030.66849315,1,212,182,156,11.9047619048,30.487804878,0.280821917808,17.1232876712,1056.57823202,1082.91523973,1109.68298373,1136.88493151,1164.52455051,1192.60530822,1221.13067209,1250.10410959,1279.52908818,1309.40907534, 4.09836065574, 0.118497109827, 6.14161849711,369.670404624,378.963464144,388.409772399,398.010573067,407.767109827,417.680626355,427.752366329,437.983573428,448.375491329,458.92936371,469.646434249
6,Charizard,Ember,Dragon Claw,30.6222222222,28.392,869.426133333,1,212,182,156,11.9047619048,23.3333333333,0.222222222222,14.4444444444,891.2824375,913.499166667,936.079245833,959.0256,982.341154167,1006.02883333,1030.0915625,1054.53226667,1079.35387083,1104.5593, 4.09836065574, 0.089552238806, 5.19402985075,312.634058507,320.493294403,328.482134328,336.601630075,344.852833433,353.236796194,361.754570149,370.40720709,379.195758806,388.12127709,397.184813731
6,Charizard,Ember,Flamethrower,34.1411042945,28.392,969.334233129,1,212,182,156,11.9047619048,23.7068965517,0.355828220859,16.1042944785,993.702104103,1018.47181748,1043.64663439,1069.22981595,1095.22462327,1121.63431748,1148.4621597,1175.71141104,1203.38533263,1231.48718558, 4.09836065574, 0.159779614325, 6.09504132231,366.866876033,376.08945829,385.464127066,394.992116606,404.674661157,414.512994964,424.508352273,434.66196733,444.97507438,455.44890767,466.084701446
6,Charizard,Wing Attack,Fire Blast,40.8871745419,28.392,1160.86865959,1,212,182,156,15.0,30.487804878,0.276759884282,19.2864030858,1190.05147059,1219.71552555,1249.86472999,1280.50298939,1311.63420926,1343.26229508,1375.39115236,1408.0246866,1441.16680328,1474.82140791, 4.09090909091, 0.0945011524531, 5.72110635496,344.359341455,353.016111963,361.815638377,370.759079221,379.847593019,389.082338296,398.464473576,407.995157382,417.675548238,427.506804669,437.490085199
6,Charizard,Wing Attack,Dragon Claw,35.6645833333,28.392,1012.58885,1,212,182,156,15.0,23.3333333333,0.21875,16.8229166667,1038.04408887,1063.91910156,1090.21729473,1116.942075,1144.09684902,1171.68502344,1199.71000488,1228.1752,1257.08401543,1286.43985781, 4.09090909091, 0.0709459459459, 4.95945945946,298.515022703,306.019323395,313.647375,321.400181807,329.278748108,337.284078193,345.417176351,353.679046875,362.070694054,370.593122179,379.247335541
6,Charizard,Wing Attack,Flamethrower,38.2828719723,28.392,1086.92730104,1,212,182,156,15.0,23.7068965517,0.351211072664,18.0579584775,1114.25131718,1142.02592452,1170.25477982,1198.94153979,1228.08986119,1257.70340074,1287.78581518,1318.34076125,1349.37189568,1380.88287522, 4.09090909091, 0.128643852978, 5.69946134347,343.056505703,351.680524522,360.446759149,369.356363727,378.410492395,387.610299296,396.956938569,406.451564357,416.095330798,425.889392036,435.83490221
7,Squirtle,Bubble,Aqua Jet,15.2173913043,12.496,190.156521739,0,112,142,88,13.5869565217,13.2978723404,0.351211072664,13.5869565217,198.05827106,206.171875,214.500084918,223.045652174,231.811328125,240.79986413,250.014011549,259.456521739,269.13014606,279.03763587, 7.26744186047, 0.405872193437, 8.09585492228,113.305699482,118.013995709,122.848526554,127.810931428,132.902849741,138.125920903,143.481784326,148.97207942,154.598445596,160.362522264,166.265948834
7,Squirtle,Bubble,Aqua Tail,19.1366906475,12.496,239.132086331,1,112,142,88,13.5869565217,23.9361702128,0.338129496403,17.0863309353,249.068962455,259.272257194,269.745430531,280.491942446,291.515252923,302.818821942,314.406109487,326.28057554,338.445680081,350.904883094, 7.26744186047, 0.214611872146, 9.30365296804,130.209461187,135.620175014,141.17595605,146.878688285,152.730255708,158.732542309,164.887432078,171.196809004,177.662557078,184.286560288,191.070702626
7,Squirtle,Bubble,Water Pulse,15.2173913043,12.496,190.156521739,0,112,142,88,13.5869565217,13.2575757576,0.338129496403,13.5869565217,198.05827106,206.171875,214.500084918,223.045652174,231.811328125,240.79986413,250.014011549,259.456521739,269.13014606,279.03763587, 7.26744186047, 0.434210526316, 8.14144736842,113.943789474,118.678600843,123.54035773,128.530708779,133.651302632,138.903787932,144.289813322,149.811027447,155.469078947,161.265616468,167.202288651
7,Squirtle,Tackle,Aqua Jet,13.6,12.496,169.9456,1,112,142,88,10.9090909091,13.2978723404,0.516483516484,12.1428571429,177.00750625,184.25875,191.701790179,199.339085714,207.173095536,215.206278571,223.44109375,231.88,240.52545625,249.379921429, 3.87096774194, 0.27485380117, 5.36549707602,75.0929216374,78.2133270651,81.4173940058,84.706208973,88.0808584795,91.5424290387,95.0920071637,98.7306793677,102.459532164,106.279652065,110.192125585
7,Squirtle,Tackle,Aqua Tail,16.5859872611,12.496,207.258496815,1,112,142,88,10.9090909091,23.9361702128,0.299363057325,14.8089171975,215.870900279,224.714211783,233.791430135,243.10555414,252.659582604,262.456514331,272.499348129,282.791082803,293.334717158,304.13325, 3.87096774194, 0.131652661064, 5.56722689076,77.9162352941,81.1539604779,84.4784926471,87.8909591649,91.392487395,94.9842047006,98.6672384454,102.442715993,106.311764706,110.275511949,114.335085084
7,Squirtle,Tackle,Water Pulse,13.652892562,12.496,170.606545455,1,112,142,88,10.9090909091,13.2575757576,0.545454545455,12.1900826446,177.695916581,184.97536157,192.447348915,200.114347107,207.978824638,216.04325,224.310091684,232.781818182,241.460897986,250.349799587, 3.87096774194, 0.298642533937, 5.48642533937,76.7853755656,79.9761090922,83.2523897059,86.6153284078,90.0660361991,93.6056240809,97.2352030543,100.95588412,104.768778281,108.674996536,112.675649887
8,Wartortle,Water Gun,Aqua Jet,21.6,20.768,448.5888,0,144,176,118,15.0,13.2978723404,0.545454545455,15.0,462.93553125,477.58095,492.52809375,507.78,523.33970625,539.21025,555.39466875,571.896,588.71728125,605.86155, 3.0, 0.247554552295, 4.56170052671,136.421851016,140.784883782,145.238751411,149.784377645,154.42268623,159.15460091,163.981045429,168.902943531,173.921218962,179.036795464,184.250596783
8,Wartortle,Water Gun,Ice Beam,23.6439169139,20.768,491.036866469,1,144,176,118,15.0,17.8082191781,0.505440158259,16.4193867458,506.741168398,522.772421365,539.133950297,555.829080119,572.861135757,590.233442136,607.949324184,626.012106825,644.425114985,663.191673591, 3.0, 0.169711059449, 4.60644304218,137.759917104,142.165743794,146.66329628,151.253507369,155.937309864,160.71563657,165.589420292,170.559593835,175.627090003,180.792841602,186.057781435
8,Wartortle,Water Gun,Hydro Pump,28.9033942559,20.768,600.265691906,1,144,176,118,15.0,29.6052631579,0.34725848564,20.0718015666,619.463341425,639.060670692,659.061744248,679.470626632,700.291382384,721.528076044,743.184772152,765.265535248,787.774429871,810.715520561, 3.0, 0.0961677512654, 4.70444685466,140.69081128,145.190373593,149.783613205,154.471482765,159.254934924,164.134922333,169.112397641,174.1883135,179.36362256,184.639277471,190.016230884
8,Wartortle,Bite,Aqua Jet,18.4423440454,20.768,383.010601134,1,144,176,118,12.0,13.2978723404,0.621928166352,12.8071833648,395.260015655,407.764453214,420.526507266,433.548771267,446.83383867,460.38430293,474.202757502,488.291795841,502.654011401,517.291997637, 2.4, 0.247554552295, 4.11023325809,122.920306998,126.85153446,130.864606941,134.960356765,139.139616253,143.403217727,147.75199351,152.186775924,156.708397291,161.317689934,166.015486174
8,Wartortle,Bite,Ice Beam,21.5074183976,20.768,446.666065282,1,144,176,118,12.0,17.8082191781,0.505440158259,14.9357072206,460.951303783,475.533949555,490.417027077,505.603560831,521.096575297,536.899094955,553.014144288,569.444747774,586.193929896,603.264715134, 2.4, 0.169711059449, 4.10826967785,122.861584324,126.790933722,130.80208904,134.895882203,139.073145135,143.33470976,147.681408004,152.114071791,156.633533045,161.240623692,165.936175656
8,Wartortle,Bite,Hydro Pump,26.0835509138,20.768,541.703185379,1,144,176,118,12.0,29.6052631579,0.34725848564,18.1135770235,559.027893481,576.713288185,594.763037492,613.180809399,631.970271908,651.135093016,670.678940723,690.605483029,710.918387932,731.621323433, 2.4, 0.0961677512654, 4.16214750542,124.472850325,128.453731104,132.517490645,136.664971783,140.897017354,145.21447019,149.618173129,154.108969004,158.687700651,163.355210904,168.112342598
9,Blastoise,Water Gun,Flash Cannon,28.345890411,35.076,994.260452055,1,186,222,158,15.0,15.3846153846,0.623287671233,15.2397260274,1018.63043129,1043.3916524,1068.54720141,1094.10016438,1120.05362735,1146.41067637,1173.17439747,1200.34787671,1227.93420013,1255.93645377, 3.0, 0.248633879781, 4.93169398907,321.750422951,329.636737961,337.649661885,345.790193391,354.059331148,362.458073822,370.987420082,379.648368596,388.441918033,397.369067059,406.430814344
9,Blastoise,Water Gun,Ice Beam,30.5400593472,35.076,1071.22312166,1,186,222,158,15.0,17.8082191781,0.505440158259,16.4193867458,1097.47950668,1124.1574184,1151.26018175,1178.79112166,1206.75356306,1235.15083086,1263.98625,1293.2631454,1322.98484199,1353.15466469, 3.0, 0.169711059449, 4.60644304218,300.530608834,307.896812209,315.381274494,322.984928491,330.708707008,338.553542847,346.520368814,354.610117714,362.823722351,371.162115531,379.626230056
9,Blastoise,Water Gun,Hydro Pump,37.3335509138,35.076,1309.51163185,1,186,222,158,15.0,29.6052631579,0.34725848564,20.0718015666,1341.60862537,1374.22091221,1407.35255691,1441.00762402,1475.19017808,1509.90428362,1545.15400518,1580.94340731,1617.27655454,1654.15751142, 3.0, 0.0961677512654, 4.70444685466,306.924510846,314.447432975,322.091130016,329.85655462,337.744659436,345.756397116,353.892720309,362.154581667,370.542933839,379.058729477,387.702921231
9,Blastoise,Bite,Flash Cannon,26.2438356164,35.076,920.528778082,1,186,222,158,12.0,15.3846153846,0.623287671233,14.1095890411,943.091545377,966.016541096,989.306622432,1012.96464658,1036.99347072,1061.39595205,1086.17494777,1111.33331507,1136.87391113,1162.79959315, 2.4, 0.248633879781, 4.48087431694,292.338334426,299.503739754,306.784180328,314.180563525,321.693796721,329.324787295,337.074442623,344.943670082,352.933377049,361.044470902,369.277859016
9,Blastoise,Bite,Ice Beam,27.7804154303,35.076,974.425851632,1,186,222,158,12.0,17.8082191781,0.505440158259,14.9357072206,998.309671736,1022.57692878,1047.23064726,1072.27385163,1097.70956639,1123.54081602,1149.770625,1176.4020178,1203.43801892,1230.88165282, 2.4, 0.169711059449, 4.10826967785,268.02910103,274.598671019,281.273710561,288.055051582,294.943526005,301.939965755,309.045202757,316.260068935,323.585396214,331.022016519,338.570761773
9,Blastoise,Bite,Hydro Pump,33.6912532637,35.076,1181.75439948,1,186,222,158,12.0,29.6052631579,0.34725848564,18.1135770235,1210.71997899,1240.15057931,1270.04986843,1300.42151436,1331.26918509,1362.59654863,1394.40727297,1426.70502611,1459.49347605,1492.7762908, 2.4, 0.0961677512654, 4.16214750542,271.544163774,278.199890269,284.962469496,291.832744289,298.811557484,305.899751915,313.098170418,320.407655826,327.829050976,335.363198702,343.010941838
10,Caterpie,Bug Bite,Struggle,8.61111111111,5.94,51.15,0,62,66,90,13.8888888889,8.84955752212,0.34725848564,13.8888888889,54.47109375,57.93125,61.53328125,65.28,69.17421875,73.21875,77.41640625,81.77,86.28234375,90.95625, 2.55102040816, 0.194939620472, 3.26131602727,12.0107746652,12.790616477,13.6031122156,14.4489222973,15.3287071387,16.2431271564,17.1928427668,18.1785143863,19.2008024316,20.2603673191,21.3578694652
10,Caterpie,Tackle,Struggle,6.76363636364,5.94,40.176,0,62,66,90,10.9090909091,8.84955752212,0.34725848564,10.9090909091,42.7845681818,45.5023636364,48.3315954545,51.2744727273,54.3332045455,57.51,60.8070681818,64.2266181818,67.7708590909,71.442, 3.87096774194, 0.214692843572, 4.36985433819,16.0932995567,17.1382136637,18.2268809373,19.360186273,20.5390145662,21.7642507125,23.0367796073,24.3574861463,25.7272552248,27.1469717384,28.6175205826
11,Metapod,Bug Bite,Struggle,7.77777777778,8.6,66.8888888889,0,56,86,100,13.8888888889,8.84955752212,0.34725848564,13.8888888889,70.9266493056,75.1184722222,79.4671701389,83.9755555556,88.6464409722,93.4826388889,98.4869618056,103.662222222,109.011232639,114.536805556, 2.55102040816, 0.194939620472, 3.26131602727,15.7064979873,16.6546237062,17.638925573,18.6600640044,19.7186994167,20.8154922266,21.9511028506,23.126191705,24.3414192064,25.5974457714,26.8949318163
11,Metapod,Tackle,Struggle,6.10909090909,8.6,52.5381818182,0,56,86,100,10.9090909091,8.84955752212,0.34725848564,10.9090909091,55.7096590909,59.0021454545,62.41785,65.9589818182,69.62775,73.4263636364,77.3570318182,81.4219636364,85.6233681818,89.9634545455, 3.87096774194, 0.214692843572, 4.36985433819,21.0452184927,22.3156170836,23.6344882837,25.0027169886,26.4211880937,27.8907864946,29.4123970868,30.9869047657,32.6151944269,34.2981509658,36.036659278
12,Butterfree,Bug Bite,Bug Buzz,26.6985645933,17.28,461.351196172,1,144,144,120,13.8888888889,22.0588235294,0.569377990431,18.5406698565,476.900398475,492.793761962,509.035041118,525.627990431,542.576364384,559.883917464,577.554404157,595.591578947,613.999196322,632.781010766, 2.55102040816, 0.195402298851, 5.0697865353,126.152512315,130.404307805,134.750211207,139.191249153,143.728448276,148.362835206,153.095436576,157.927279018,162.859389163,167.892793642,173.028519089
