PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%
12,Butterfree,Confusion,Bug Buzz,22.157615894,17.28,382.883602649,1,144,144,120,9.93377483444,22.3071679003,0.440740740741,15.3872332597,395.788163524,408.978349917,422.457277742,436.228062914,450.293821347,464.657668957,479.322721658,494.292095364,509.568905991,525.156269454
12,Butterfree,Confusion,Psychic,19.2050439673,17.28,331.863159754,1,144,144,120,9.93377483444,19.8912015137,0.341761115955,13.3368360884,343.048147353,354.480699972,366.163518319,378.099303106,390.29075504,402.740574831,415.451463189,428.426120822,441.66724844,455.177546753
12,Butterfree,Confusion,Signal Beam,19.9755500354,17.28,345.177504612,1,144,144,120,9.93377483444,18.3935056612,0.465515392041,13.8719097468,356.811233741,368.702460194,380.853993034,393.268641322,405.94921412,418.898520489,432.119369492,445.61457019,459.386931644,473.439262917
13,Weedle,Bug Bite,Struggle,9.44444444444,5.12,48.3555555556,0,68,64,80,13.8888888889,8.84955752212,0.465515392041,13.8888888889,51.5289409722,54.8376388889,58.2844618056,61.8722222222,65.6037326389,69.4818055556,73.5092534722,77.6888888889,82.0235243056,86.5159722222
13,Weedle,Poison Sting,Struggle,8.86956521739,5.12,45.412173913,0,68,64,80,13.0434782609,8.84955752212,0.465515392041,13.0434782609,48.3923967391,51.4996956522,54.7367119565,58.1060869565,61.6104619565,65.2524782609,69.0347771739,72.96,77.0307880435,81.2497826087
14,Kakuna,Bug Bite,Struggle,8.61111111111,7.38,63.55,0,62,82,90,13.8888888889,8.84955752212,0.465515392041,13.8888888889,67.3827604167,71.3645833333,75.49828125,79.7866666667,84.2325520833,88.83875,93.6080729167,98.5433333333,103.64734375,108.922916667
14,Kakuna,Poison Sting,Struggle,8.08695652174,7.38,59.6817391304,0,62,82,90,13.0434782609,8.84955752212,0.465515392041,13.0434782609,63.281201087,67.0206521739,70.9027336957,74.9300869565,79.1053532609,83.431173913,87.9101902174,92.5450434783,97.338375,102.292826087
15,Beedrill,Bug Bite,Sludge Bomb,28.3071253071,16.9,478.39041769,1,144,130,130,13.8888888889,26.7895299145,0.447174447174,19.6577259077,494.592782255,511.156504965,528.085566512,545.383947584,563.055628871,581.104591063,599.534814848,618.350280917,637.554969959,657.152862664
15,Beedrill,Bug Bite,Aerial Ace,20.0,16.9,338.0,0,144,130,130,13.8888888889,10.6920498084,0.447174447174,13.8888888889,349.447552083,361.150416667,373.11140625,385.333333333,397.819010417,410.57125,423.592864583,436.886666667,450.45546875,464.302083333
15,Beedrill,Bug Bite,X Scissor,25.2233502538,16.9,426.274619289,1,144,130,130,13.8888888889,21.1805555556,0.497461928934,17.516215454,440.711900077,455.471172695,470.555984177,485.969881557,501.716411868,517.799122145,534.22155942,550.987270728,568.099803101,585.562703574
15,Beedrill,Poison Jab,Sludge Bomb,26.5397634213,16.9,448.52200182,1,144,130,130,14.2857142857,26.7994505495,0.331210191083,18.4303912648,463.712768022,479.242330892,495.114422583,511.33277525,527.901121048,544.823192129,562.102720649,579.743438763,597.749078623,616.123372384
15,Beedrill,Poison Jab,Aerial Ace,20.5714285714,16.9,347.657142857,0,144,130,130,14.2857142857,10.7019704433,0.331210191083,14.2857142857,359.431767857,371.469,383.771732143,396.342857143,409.185267857,422.301857143,435.695517857,449.369142857,463.325625,477.567857143
15,Beedrill,Poison Jab,X Scissor,24.3234501348,16.9,411.066307278,1,144,130,130,14.2857142857,21.1904761905,0.377358490566,16.8912848158,424.988505391,439.221207547,453.767834232,468.63180593,483.816543127,499.325466307,515.161995957,531.329552561,547.831556604,564.671428571
16,Pidgey,Quick Attack,Twister,8.88400025487,7.2,63.9648018351,1,94,90,80,9.3984962406,9.49422166527,0.549152542373,9.45106410093,67.3073951172,70.7641808812,74.3370729678,78.0279852173,81.8388314702,85.7715255671,89.8279813484,94.0101126545,98.319833326,102.759057203
16,Pidgey,Quick Attack,Aerial Ace,10.6456442355,7.2,76.6486384956,1,94,90,80,9.3984962406,13.1659968888,0.511388684791,11.325153442,80.6540479827,84.7962936364,89.0776688,93.5004668173,98.0669810317,102.779504787,107.640331426,112.651754294,117.816066733,123.135562087
16,Pidgey,Quick Attack,Air Cutter,10.4390007276,7.2,75.1608052389,1,94,90,80,9.3984962406,12.5384483937,0.543582704187,11.105319923,79.088465381,83.1503055511,87.3485745765,91.6855212843,96.163394502,100.784443057,105.550915776,110.465061487,115.529129017,120.745367193
16,Pidgey,Tackle,Twister,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,9.60016835017,0.543582704187,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
16,Pidgey,Tackle,Aerial Ace,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,13.2719435737,0.543582704187,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
16,Pidgey,Tackle,Air Cutter,12.8181818182,7.2,92.2909090909,0,94,90,80,13.6363636364,13.0681818182,0.543582704187,13.6363636364,97.1137329545,102.101318182,107.256426136,112.581818182,118.080255682,123.7545,129.6073125,135.641454545,141.8596875,148.264772727
17,Pidgeotto,Wing Attack,Twister,18.9,15.372,290.5308,0,126,122,126,15.0,9.63425925926,0.543582704187,15.0,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Wing Attack,Aerial Ace,18.9,15.372,290.5308,0,126,122,126,15.0,13.3060344828,0.543582704187,15.0,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Wing Attack,Air Cutter,18.9,15.372,290.5308,0,126,122,126,15.0,13.2386363636,0.543582704187,15.0,301.14703125,312.01875,323.14899375,334.5408,346.19720625,358.12125,370.31596875,382.7844,395.52958125,408.55455
17,Pidgeotto,Steel Wing,Twister,14.2105263158,15.372,218.444210526,0,126,122,126,11.2781954887,9.54121414648,0.543582704187,11.2781954887,226.426339286,234.60056391,242.969168233,251.53443609,260.298651316,269.264097744,278.433059211,287.807819549,297.390662594,307.18387218
17,Pidgeotto,Steel Wing,Aerial Ace,15.4572102556,15.372,237.608236049,1,126,122,126,11.2781954887,13.21298937,0.511388684791,12.267627187,246.290633856,255.181980024,264.284758745,273.601454216,283.13455063,292.886532183,302.859883068,313.05708748,323.480629614,334.132993663
17,Pidgeotto,Steel Wing,Air Cutter,15.2346205252,15.372,234.186586714,1,126,122,126,11.2781954887,12.7734107997,0.543582704187,12.0909686708,242.743954677,251.507262064,260.478957296,269.661488794,279.05730498,288.668854274,298.498585097,308.548945872,318.822385018,329.321350958
18,Pidgeot,Wing Attack,Hurricane,31.9997946612,27.556,881.786341684,1,170,166,166,15.0,31.625,0.229979466119,18.8234086242,905.715952836,930.07459653,954.866084505,980.094228501,1005.76284026,1031.87573152,1058.43671402,1085.44959951,1112.91819972,1140.84632639
18,Pidgeot,Wing Attack,Aerial Ace,25.5,27.556,702.678,0,170,166,166,15.0,13.3060344828,0.229979466119,15.0,721.74703125,741.15795,760.91379375,781.0176,801.47240625,822.28125,843.44716875,864.9732,886.86238125,909.11775
18,Pidgeot,Wing Attack,Air Cutter,25.5,27.556,702.678,0,170,166,166,15.0,13.2386363636,0.229979466119,15.0,721.74703125,741.15795,760.91379375,781.0176,801.47240625,822.28125,843.44716875,864.9732,886.86238125,909.11775
18,Pidgeot,Steel Wing,Hurricane,26.8868495626,27.556,740.894026548,1,170,166,166,11.2781954887,31.5319548872,0.224037339557,15.8157938604,761.000151039,781.466757012,802.297047165,823.494224195,845.061490802,867.002049684,889.319103538,912.015855064,935.095506958,958.561261921
18,Pidgeot,Steel Wing,Aerial Ace,20.8549662179,27.556,574.6794491,1,170,166,166,11.2781954887,13.21298937,0.511388684791,12.267627187,590.27490018,606.149961152,622.307116211,638.748849552,655.477645369,672.495987857,689.80636121,707.411249623,725.31313729,743.514508405
18,Pidgeot,Steel Wing,Air Cutter,20.5546467404,27.556,566.403845578,1,170,166,166,11.2781954887,12.7734107997,0.543582704187,12.0909686708,581.774716207,597.421170239,613.345656095,629.550622197,646.038516966,662.811788823,679.87288619,697.224257487,714.868351135,732.807615556
19,Rattata,Tackle,Dig,12.5454545455,5.16,64.7345454545,0,92,86,60,13.6363636364,12.4098746082,0.543582704187,13.6363636364,68.6109375,72.6361363636,76.8129034091,81.144,85.6321875,90.2802272727,95.0908806818,100.066909091,105.211073864,110.526136364
19,Rattata,Tackle,Hyper Fang,15.087022053,5.16,77.8490337934,1,92,86,60,13.6363636364,21.1742424242,0.366492146597,16.3989370141,82.5107391198,87.3513978463,92.3743307577,97.5828586387,102.980302274,108.569982449,114.355219947,120.339335554,126.525650055,132.917484234
19,Rattata,Tackle,Body Slam,16.3582539274,5.16,84.4085902653,1,92,86,60,13.6363636364,32.3921911422,0.220963172805,17.7807107906,89.4630906958,94.7116231329,100.15778817,105.805186402,111.657418422,117.718084825,123.990786203,130.479123152,137.186696265,144.117106136
19,Rattata,Quick Attack,Dig,10.2858852126,5.16,53.0751676972,1,92,86,60,9.3984962406,12.3039279233,0.61326989162,11.1803100137,56.2533804494,59.5535983347,62.9780853657,66.5291055553,70.2089229163,74.0198014614,77.9640052035,82.0437981552,86.2614443294,90.6192077388
19,Rattata,Quick Attack,Hyper Fang,12.5625614187,5.16,64.8228169207,1,92,86,60,9.3984962406,21.0682957393,0.364741641337,13.6549580639,68.7044947808,72.7351823708,76.9176448197,81.2546472564,85.7489548101,90.4033326096,95.2205457841,100.203359462,105.354538774,110.676848847
19,Rattata,Quick Attack,Body Slam,13.2720795182,5.16,68.4839303139,1,92,86,60,9.3984962406,32.2862444573,0.219666744896,14.4261733894,72.5848405906,76.8431764844,81.2618592954,85.8438103237,90.5919508695,95.5092022329,100.598485714,105.862722613,111.304834229,116.927741864
20,Raticate,Bite,Dig,17.9030262697,16.5,295.39993345,1,146,150,110,12.0,12.3689655172,0.711033274956,12.2623467601,305.52947491,315.885532571,326.470589557,337.287128995,348.337634008,359.624587723,371.150473265,382.917773758,394.928972329,407.186552102
20,Raticate,Bite,Hyper Fang,23.8026794872,16.5,392.744211538,1,146,150,110,12.0,21.1333333333,0.471153846154,16.3032051282,406.21177982,419.980509058,434.053700651,448.434656,463.126676502,478.133063558,493.457118565,509.102142923,525.071438031,541.368305288
20,Raticate,Bite,Hyper Beam,28.5215294118,16.5,470.605235294,1,146,150,110,12.0,30.3,0.411764705882,19.5352941176,486.742731287,503.241093,520.104276331,537.336237176,554.940931434,572.922315,591.284343772,610.030973647,629.166160522,648.693860294
